Ranking	Node	Degree	Componenet
1 	 Associated_Press_State_&_Local 	 105 	 1 
2 	 Associated_Press_International 	 105 	 1 
3 	 AP_Planner 	 105 	 1 
4 	 The_Associated_Press 	 105 	 1 
5 	 AP_Spanish_Online 	 105 	 1 
6 	 Associated_Press_Financial_Wire 	 105 	 1 
7 	 1.0 	 86 	 1 
8 	 2.0 	 63 	 1 
9 	 25.0 	 43 	 1 
10 	 The_Hill 	 69 	 1 
11 	 El_Pais 	 36 	 1 
12 	 The_Conversation_-_United_States 	 43 	 1 
13 	 The_Conversation_-_Spanish 	 43 	 1 
14 	 The_Conversation_-_Australia 	 43 	 1 
15 	 The_Conversation_-_United_Kingdom 	 43 	 1 
16 	 0.0 	 79 	 1 
17 	 3.0 	 41 	 1 
18 	 139.0 	 31 	 1 
19 	 9.0 	 38 	 1 
20 	 12.0 	 34 	 1 
21 	 15.0 	 40 	 1 
22 	 10.0 	 33 	 1 
23 	 Metro_Toluca 	 35 	 1 
24 	 Metro_(UK)_Mexico 	 35 	 1 
25 	 United_Nations_News_Spanish 	 21 	 1 
26 	 UN_News_Service_(New_York) 	 21 	 1 
27 	 United_Nations_News_English 	 21 	 1 
28 	 United_Nations_News_Portuguese 	 21 	 1 
29 	 11.0 	 33 	 1 
30 	 464.0 	 34 	 1 
31 	 5.0 	 41 	 1 
32 	 Bangor_Daily_News_(Maine) 	 30 	 1 
33 	 13.0 	 34 	 1 
34 	 24.0 	 27 	 1 
35 	 Reforma_(Mexico) 	 15 	 1 
36 	 6.0 	 31 	 1 
37 	 27.0 	 15 	 1 
38 	 Asian_News_International_(ANI) 	 21 	 1 
39 	 8.0 	 6 	 1 
40 	 44.0 	 14 	 1 
41 	 National_Post's_Financial_Post_&_FP_Investing_(Canada) 	 18 	 1 
42 	 The_Times_of_India_(TOI) 	 27 	 1 
43 	 TOI.com_&_ET.com_Blogs 	 27 	 1 
44 	 The_Week 	 20 	 1 
45 	 The_Economic_Times 	 23 	 1 
46 	 17.0 	 16 	 1 
47 	 7.0 	 25 	 1 
48 	 18.0 	 27 	 1 
49 	 29.0 	 25 	 1 
50 	 14.0 	 23 	 1 
51 	 16.0 	 21 	 1 
52 	 National_Post_(f/k/a_The_Financial_Post)_(Canada)_Argentina 	 27 	 1 
53 	 Postmedia_Breaking_News 	 27 	 1 
54 	 20.0 	 27 	 1 
55 	 58.0 	 16 	 1 
56 	 4.0 	 19 	 1 
57 	 28.0 	 15 	 1 
58 	 33.0 	 14 	 1 
59 	 66.0 	 10 	 1 
60 	 The_Daily_Caller 	 14 	 1 
61 	 Toronto_Sun 	 9 	 1 
62 	 Ottawa_Citizen 	 15 	 1 
63 	 41.0 	 8 	 1 
64 	 81.0 	 20 	 1 
65 	 47.0 	 20 	 1 
66 	 Expansión_(Mexico) 	 9 	 1 
67 	 36.0 	 14 	 1 
68 	 61.0 	 14 	 1 
69 	 73.0 	 12 	 1 
70 	 56.0 	 11 	 1 
71 	 39.0 	 12 	 1 
72 	 72.0 	 11 	 1 
73 	 87.0 	 9 	 1 
74 	 22.0 	 9 	 1 
75 	 112.0 	 2 	 1 
76 	 95.0 	 3 	 1 
77 	 19.0 	 8 	 1 
78 	 52.0 	 2 	 1 
79 	 43.0 	 15 	 1 
80 	 55.0 	 14 	 1 
81 	 84.0 	 11 	 1 
82 	 48.0 	 12 	 1 
83 	 80.0 	 8 	 1 
84 	 Windsor_Star_(Ontario) 	 7 	 1 
85 	 53.0 	 8 	 1 
86 	 My_Republica 	 5 	 1 
87 	 51.0 	 10 	 1 
88 	 38.0 	 11 	 1 
89 	 207.0 	 8 	 1 
90 	 142.0 	 3 	 1 
91 	 42.0 	 9 	 1 
92 	 231.0 	 1 	 1 
93 	 Saudi_Gazette_-_Saudi_Arabia 	 4 	 1 
94 	 137.0 	 1 	 1 
95 	 332.0 	 1 	 1 
96 	 Valor_Supplements 	 4 	 1 
97 	 Gazeta_Wyborcza_in_English 	 6 	 1 
98 	 40.0 	 1 	 1 
99 	 283.0 	 7 	 1 
100 	 75.0 	 1 	 2 
101 	 21.0 	 7 	 1 
102 	 227.0 	 1 	 1 
103 	 168.0 	 1 	 1 
104 	 Euronews_Greek_Version 	 12 	 1 
105 	 65.0 	 12 	 1 
106 	 91.0 	 15 	 1 
107 	 89.0 	 11 	 1 
108 	 Sambad_English 	 4 	 1 
109 	 115.0 	 4 	 1 
110 	 45.0 	 15 	 1 
111 	 209.0 	 11 	 1 
112 	 219.0 	 2 	 3 
113 	 99.0 	 8 	 1 
114 	 30.0 	 13 	 1 
115 	 513.0 	 2 	 1 
116 	 pravda.sk 	 4 	 1 
117 	 110.0 	 4 	 1 
118 	 The_Vancouver_Province_(British_Columbia) 	 5 	 1 
119 	 101.0 	 2 	 1 
120 	 46.0 	 8 	 1 
121 	 32.0 	 9 	 1 
122 	 255.0 	 2 	 1 
123 	 Ottawa_Sun 	 1 	 1 
124 	 TVEyes_-_BBC_1_Scotland 	 3 	 1 
125 	 TVEyes_-_BBC_1_Southampton 	 3 	 1 
126 	 Syrian_Arab_News_Agency_(SANA) 	 8 	 1 
127 	 CBC_News 	 3 	 1 
128 	 292.0 	 6 	 1 
129 	 23.0 	 2 	 1 
130 	 128.0 	 1 	 1 
131 	 327.0 	 2 	 1 
132 	 59.0 	 6 	 1 
133 	 TVEyes_-_BBC_1_North 	 3 	 1 
134 	 144.0 	 6 	 1 
135 	 Gov.uk 	 2 	 1 
136 	 259.0 	 1 	 1 
137 	 Azeri-Press_news_agency_(APA) 	 6 	 1 
138 	 The_Japan_News 	 4 	 1 
139 	 TVEyes_-_BBC_1_North_West 	 3 	 1 
140 	 TVEyes_-_BBC_1_Wales 	 3 	 1 
141 	 Gazeta_Wyborcza 	 12 	 1 
142 	 395.0 	 1 	 1 
143 	 La_República_(Uruguay) 	 1 	 1 
144 	 thetimes.co.uk 	 5 	 1 
145 	 Edmonton_Journal_(Alberta) 	 3 	 1 
146 	 The_Vancouver_Sun_(British_Columbia) 	 2 	 1 
147 	 The_Times_(London) 	 5 	 1 
148 	 The_Sunday_Times_(London)_Spain 	 5 	 1 
149 	 The_Nation_(Nigeria) 	 5 	 1 
150 	 190.0 	 6 	 1 
151 	 Business_Insider_US 	 5 	 1 
152 	 Mehr_News_Agency_(MNA) 	 8 	 1 
153 	 Winnipeg_Sun 	 6 	 1 
154 	 ENP_Newswire_Mexico 	 2 	 1 
155 	 The_Peninsula 	 2 	 1 
156 	 UPI 	 4 	 1 
157 	 203.0 	 6 	 1 
158 	 138.0 	 7 	 1 
159 	 TVEyes_-_BBC_1_East 	 3 	 1 
160 	 96.0 	 6 	 1 
161 	 26.0 	 2 	 1 
162 	 83.0 	 1 	 1 
163 	 274.0 	 1 	 1 
164 	 TVEyes_-_BBC_3 	 3 	 1 
165 	 97.0 	 6 	 1 
166 	 250.0 	 7 	 1 
167 	 telegraph.co.uk 	 6 	 1 
168 	 TVEyes_-_BBC_1_Yorkshire_and_Lincolnshire 	 3 	 1 
169 	 TVEyes_-_BBC_1_East_Midlands 	 3 	 1 
170 	 109.0 	 1 	 1 
171 	 126.0 	 8 	 1 
172 	 170.0 	 1 	 1 
173 	 TVEyes_-_BBC_1_Oxford 	 3 	 1 
174 	 106.0 	 6 	 1 
175 	 35.0 	 11 	 1 
176 	 63.0 	 7 	 1 
